,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_type_left,full_name_right,wine_country_right,wine_type_right
23177,-0.16817476464340883,263_left,8673_right,PIRRAMIMMA Katunga Chardonnay,Australien,white,Vasse Felix Chardonnay,Australien,white
16600,-0.17255047548171656,176_left,3467_right,"CHÂTEAU DU LEVANT Sauternes 0,5 L",Frankreich,white,Château du Cèdre Le Cèdre,Frankreich,red
17361,-0.1745248346835114,186_left,3484_right,CONTI DI COLLOREDO Chardonnay,Italien,white,Vie di Romans Chardonnay,Italien,white
8803,-0.18141226781258304,82_left,3146_right,ELENA LA LUNA,Italien,red,Elena Walch Gewürztraminer,Italien,white
3097,-0.18844916090722005,22_left,6848_right,Rhônetal DOMAINE SAINTE-ANNE Cuvée Notre Dame,Frankreich,red,Notre Dame des Pallières Gigondas,Frankreich,red
6891,-0.1899353988750734,62_left,2684_right,IL PUMO D'ORO,Italien,red,Biserno Il Pino di Biserno,Italien,red
12838,-0.19010479309029787,129_left,4086_right,SONNENHOF Edition 962,Deutschland,red,Schloss Vollrads Edition Riesling,Deutschland,white
1404,-0.19643015501483643,10_left,1158_right,CHÂTEAU BONNET Classique,Frankreich,red,Château Malbec Bordeaux,Frankreich,red
14320,-0.19665989249322438,149_left,2760_right,JURANÇON Grain Sauvage Sec,Frankreich,white,Pascal Jolivet Sancerre Sauvage Blanc,Frankreich,white
20656,-0.19781717603768334,220_left,118_right,GLASKLAR Feine Perlen,Deutschland,white,Von Winning Win Win Riesling,Deutschland,white
19204,-0.1983090942365185,204_left,70_right,TRAMOYA,Spanien,white,Abadal Blanc,Spanien,white
19340,-0.1983090942365185,205_left,70_right,PULPITO,Spanien,white,Abadal Blanc,Spanien,white
9863,-0.22683342369697834,92_left,342_right,PARADISO Edizione,Italien,red,Farnese Edizione Cinque Autoctoni,Italien,red
3642,-0.22864775179004432,26_left,794_right,MADIRAN Tannat Paradox,Frankreich,red,Domaine Berthoumieu Constance Madiran,Frankreich,red
1600,-0.2322208939673335,11_left,1526_right,PUGIBET Cabernet Noir,Frankreich,red,Les Jamelles Pinot Noir,Frankreich,red
6,-0.23892830526193173,1_left,567_right,GUY BOYER,Frankreich,red,Naia K-Naia,Spanien,white
6782,-0.23963461546300605,60_left,4336_right,SAROTTO Briccorossa,Italien,red,Roberto Sarotto Virgilio Gavi,Italien,white
7889,-0.2463064948645727,69_left,5673_right,REGOLO,Italien,red,Sartori di Verona Regolo Valpolicella Ripasso Superiore,Italien,red
6358,-0.24650690527943028,57_left,303_right,GIARDINIERE,Italien,red,Antinori Tignanello,Italien,red
9354,-0.2522994888388777,87_left,10897_right,SARTORI Corte Brà Amarone Riserva,Italien,red,Sartori di Verona Bardolino Chiaretto ,Italien,rosé
12632,-0.2592798257558592,128_left,1216_right,HIRSCH Großes Geweih,Deutschland,red,Hirsch Zöbing Riesling,Österreich,white
23619,-0.2604900787118273,269_left,2065_right,ZIMMERMANN Rosshimmel,Österreich,white,Sattlerhof Sauvignon Blanc,Österreich,white
21559,-0.26708250790687715,234_left,4108_right,PRINZ Quarzit BIO**,Deutschland,white,Weingut Pflüger Weissburgunder Quarzit,Deutschland,white
8620,-0.2690853512761848,77_left,1841_right,AVOGADRI Diamante,Italien,red,Bodegas Franco-Españolas Diamante Crianza,Spanien,red
144,-0.27141324074694567,2_left,1271_right,LA CLOUTADE D'AMBRE,Frankreich,red,Domaine de la Renaudie Sauvignon,Frankreich,white
20362,-0.2773413853010886,214_left,227_right,MARKGRÄFLER Gutedel,Deutschland,white,Dönnhoff Riesling,Deutschland,white
17892,-0.28239982003698216,191_left,3047_right,PODERE LA CASA ROSSA BIO**,Italien,white,Cabreo La Pietra Chardonnay,Italien,white
1807,-0.291427794676409,13_left,10264_right,ABBAYE DE VALMAGNE,Frankreich,red,Jaillance Cuvée de L'Abbaye Crémant de Bordeaux Brut,Frankreich,sparkling
22730,-0.30317282764119297,252_left,9986_right,PRINZ Jungfer,Deutschland,white,Prinz Salm La Principessa Rosé Brut,Deutschland,sparkling
10000,-0.3270462941345464,94_left,4816_right,LUCIO MUÑOZ Las Canteras,Spanien,red,Viñedos y Bodegas Muñoz Blas Muñoz Chardonnay,Spanien,white
15610,-0.33342212775708263,164_left,11795_right,JURANÇON Pavillon Royal Doux,Frankreich,white,Ackerman Royal Crémant de Loire Brut,Frankreich,sparkling
16969,-0.3510565358082979,181_left,4744_right,L'ARJOLLE Perce-Neige,Frankreich,white,Domaine de l'Horizon Blanc,Frankreich,white
10738,-0.35522171941218267,103_left,6125_right,La Mancha LUCIO MUÑOZ Colección Familiar,Spanien,red,Comenge Colección Verdejo,Spanien,white
