wine_id,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol
1136158,Tinto,Bodegas San Román,Spanien,Toro,2017,red,29.5,14.5
1141289,Riesling,Dönnhoff,Deutschland,Nahe,2016,white,19.5,11.5
6815639,I Gran Reserva 75 Aniversario,Bodegas Faustino,Spanien,Rioja,2009,red,25.65,13.0
1202676,Roero Arneis,Cornarea,Italien,Roero,2020,white,15.5,13.5
9010269,An 118 Coteaux de Narbonne,Gérard Bertrand,Frankreich,Coteaux de Narbonne,2020,white,9.65,0.0
83809,Margaux (Grand Cru Classé),Château Pouget,Frankreich,Margaux,2016,red,49.97,13.5
18770,Missionvale Chardonnay,Bouchard Finlayson,Südafrika,Walker Bay,2018,white,22.9,13.5
1899802,Negre,Cara Nord,Spanien,Conca de Barberà,2016,red,9.95,13.5
1862920,Pinot Grigio,Zenato,Italien,delle Venezie,2020,white,5.74,12.0
1163568,Il Fiore,Braida,Italien,Langhe,2019,white,11.5,12.5
1363788,Three,Constantia Glen,Südafrika,Constantia,2017,red,17.9,15.0
1657434,Greco,Statti,Italien,Kalabrien,2019,white,12.92,13.0
1117147,Petit Chablis,Simonnet-Febvre,Frankreich,Petit Chablis,2019,white,19.9,0.0
1265273,Estate Collection Regolo Rosso Veronese,Sartori di Verona,Italien,Rosso Veronese,2014,red,11.85,0.0
1893785,Shiraz,Lanzerac,Südafrika,Stellenbosch,2018,red,12.5,14.0
7684095,Logistilla Nerello Mascalese,Luna Gaia,Italien,Terre Siciliane,2018,red,8.95,12.7
5080,Guidalberto,Tenuta San Guido,Italien,Toscana,2019,red,48.5,13.0
1171457,Gewürztraminer,Franz Haas,Italien,Südtirol - Alto Adige,2020,white,21.9,13.5
1759887,Saar Alte Reben Riesling,Markus Molitor,Deutschland,Mosel,2018,white,17.8,12.5
1454953,Chianti Classico,Istine,Italien,Chianti Classico,2014,red,10.8,13.0
1138731,Esporão Reserva Branco,Esporão,Portugal,Alentejo,2020,white,14.25,14.0
1161059,Le Clos Rouge Crozes-Hermitage,Delas,Frankreich,Crozes-Hermitage,2014,red,58.4,13.0
51904,Torrontés,La Linda,Argentinien,Mendoza,2019,white,10.5,0.0
2008109,Pinot Grigio delle Venezie,Casalforte,Italien,delle Venezie,2020,white,5.9,12.0
1483176,Just Riesling!,Gut Hermannsberg,Deutschland,Nahe,2020,white,8.9,11.5
1251440,Syrah,Trizanne Signature Wines,Südafrika,Swartland,2017,red,9.9,0.0
76961,Crianza,Finca Enguera,Spanien,Valencia,2018,red,7.1,14.1
5106,Gentil,Hugel,Frankreich,Elsass,2019,white,9.5,13.0
20922,Chardonnay,Rustenberg,Südafrika,Stellenbosch,2020,white,14.5,13.5
1584508,Figure Libre Freestyle Blanc,Gayda,Frankreich,Pays d'Oc,2017,white,14.5,14.0
5402364,Reserva,Porta 6,Portugal,Douro,2018,red,10.91,14.0
5213961,Nero di Troia,Terre Avare,Italien,Puglia,2018,red,5.9,13.0
1126849,Meursault,Domaine Henri Boillot,Frankreich,Meursault,2018,white,90.0,13.0
16489,Viognier,Le Paradou,Frankreich,Vin de France,2020,white,8.9,0.0
1194560,Kritt Pinot Blanc,Marc Kreydenweiss,Frankreich,Elsass,2018,white,16.4,12.5
97051,Saint-Julien (Grand Cru Classé),Château Lagrange,Frankreich,Saint-Julien,2010,red,64.0,14.0
6276,Director's Cut Chardonnay,Francis Ford Coppola Winery,Vereinigte Staaten,Russian River Valley,2019,white,26.5,13.5
1374951,Danie de Wet Chardonnay,De Wetshof,Südafrika,Robertson,2020,white,6.2,13.0
4301214,Cabernet Sauvignon Aged in Bourbon Barrels,Robert Mondavi Private Selection,Vereinigte Staaten,Monterey County,2018,red,18.64,14.0
1176630,Pinotage,Diemersdal,Südafrika,Durbanville,2020,red,11.9,14.5
1527704,Oak Cask Syrah,Trapiche,Argentinien,Mendoza,2019,red,8.18,13.5
1144053,Ramì Blanco,COS,Italien,Terre Siciliane,2018,white,18.9,0.0
3317956,Finca Valdelagunde Cuveé Especial,Bodegas Pedro Escudero,Spanien,Castilla y León,2020,white,7.8,13.0
2163357,Weissburgunder in der Låmm,Weingut Abraham,Italien,Vigneti delle Dolomiti,2018,white,20.5,13.5
2376360,Chaminé Tinto,Cortes de Cima,Portugal,Alentejano,2019,red,8.95,13.5
1182485,Homenagem A Hans Christian Andersen,Cortes de Cima,Portugal,Alentejano,2012,red,33.06,0.0
1084709,Barbera d'Asti Superiore Tre Roveri,Pico Maccario,Italien,Barbera d'Asti,2018,red,18.9,14.5
2280445,Noir,Von Winning,Deutschland,Pfalz,2017,red,28.5,0.0
1208450,Wehlener Sonnenuhr Riesling Kabinett,Joh. Jos. Prüm,Deutschland,Wehlen,2019,white,30.0,9.5
15100,Friulano,Livio Felluga,Italien,Colli Orientali del Friuli,2018,white,39.9,13.0
1898035,Gran Selección Blanco,Marina Alta,Spanien,Alicante,2020,white,5.84,11.0
