,best_match_score,__id_left,__id_right,wine_name_left,wine_winery_left,wine_country_left,wine_region_left,wine_type_left,wine_name_right,wine_winery_right,wine_country_right,wine_region_right,wine_type_right
58354,0.9350231427363256,489_left,2496_right,chardonnay trocken -b-,weingut metzger, Deutschland ,Pfalz,white,chardonnay trocken,weingut metzger,Deutschland,Pfalz,white
53404,0.9283821400431324,441_left,1638_right,riesling feinherb haus klosterberg,weingut markus molitor, Deutschland ,Mosel,white,haus klosterberg riesling trocken,markus molitor,Deutschland,Mosel,white
37924,0.9254067797175094,288_left,9209_right,pinot noir brauneberger klostergarten **,weingut markus molitor, Deutschland ,Mosel,red,brauneberger mandelgraben pinot noir,markus molitor,Deutschland,Mosel,red
30485,0.9254067797175094,236_left,9209_right,pinot noir brauneberger klostergarten ***,weingut markus molitor, Deutschland ,Mosel,red,brauneberger mandelgraben pinot noir,markus molitor,Deutschland,Mosel,red
33565,0.9209781812346807,259_left,5923_right,barbera d'alba 'vigna martina' magnum,azienda agricola elio grasso, Italien ,Piemont,red,barbera d’alba vigna martina,elio grasso,Italien,Barbera d'Alba,red
67285,0.91816832252167,632_left,6058_right,sauvignon blanc ciari,borgo molino, Italien ,Veneto,white,ciari sauvignon blanc,borgo molino,Italien,Venezia,white
89593,0.9171773567063215,934_left,11166_right,champagne 'l'echappée belle' extra brut magnum,champagne etienne calsac, Frankreich ,Champagne,sparkling,l'échappée belle blanc de blancs champagne premier cru,etienne calsac,Frankreich,Champagne Premier Cru,sparkling
4285,0.9120713838951299,53_left,3734_right,"""rooi olifant""",markus schneider, Südafrika ,Stellenbosch,red,rooi olifant red,schneider,Südafrika,Stellenbosch,red
4559,0.902725510405449,55_left,5993_right,morellino di scansano,fattoria le pupille, Italien ,Toscana,red,morellino di scansano,fattoria le pupille,Italien,Morellino di Scansano,red
20880,0.8998401710289876,170_left,2383_right,inurrieta cuatrocientos crianza,bodega inurrieta, Spanien ,Navarra,red,cuatrocientos crianza,inurrieta,Spanien,Navarra,red
130,0.8988204082093757,9_left,7393_right,black print,markus schneider, Deutschland ,Pfalz,red,black print,schneider,Deutschland,Pfalz,red
35192,0.8891954777929472,271_left,5093_right,château pichon longueville comtesse de lalande,château pichon longueville comtesse de lalande, Frankreich ,Bordeaux,red,réserve (de la comtesse) pauillac,château pichon longueville comtesse de lalande,Frankreich,Pauillac,red
59979,0.8871227696630871,513_left,9705_right,riesling spätlese niederberg helden,weingut schloss lieser, Deutschland ,Mosel,white,niederberg helden riesling spätlese feinherb,weingut thanisch,Deutschland,Mosel,white
61811,0.886311231861049,536_left,182_right,"sauvignon blanc ""kaitui"" magnum",markus schneider, Deutschland ,Pfalz,white,kaitui sauvignon blanc,schneider,Deutschland,Pfalz,white
2070,0.8862055708986869,28_left,610_right,opus one,opus one winery, USA ,Napa Valley,red,opus one,opus one,Vereinigte Staaten,Napa Valley,red
60800,0.8779953607628201,526_left,215_right,lugana doc 'i frati',cà dei frati, Italien ,Lombardei,white,i frati lugana,cà dei frati,Italien,Lugana,white
